"Tabela 3548 - Pessoas de 10 anos ou mais de idade, Valor do rendimento nominal médio mensal, e mediano mensal, das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência, segundo a situação do domicílio, o sexo, as classes de rendimento nominal mensal e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Ano x Condição de atividade x Situação do domicílio x Sexo"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Economicamente ativas"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Total"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"3514700";"Echaporã (SP)";"Total";"Total";"5474";"2700";"2774";"3187";"1893";"1294"
"3514809";"Eldorado (SP)";"Total";"Total";"12085";"6169";"5916";"6282";"3990";"2292"
"3514908";"Elias Fausto (SP)";"Total";"Total";"13513";"7024";"6489";"8064";"4983";"3081"
"3514924";"Elisiário (SP)";"Total";"Total";"2773";"1474";"1299";"1675";"1055";"620"
"3514957";"Embaúba (SP)";"Total";"Total";"2131";"1104";"1027";"1339";"820";"520"
"3515004";"Embu das Artes (SP)";"Total";"Total";"201615";"97001";"104614";"123129";"66555";"56574"
"3515103";"Embu-Guaçu (SP)";"Total";"Total";"53079";"26307";"26773";"30518";"17438";"13080"
"3515129";"Emilianópolis (SP)";"Total";"Total";"2659";"1342";"1317";"1554";"962";"592"
"3515152";"Engenheiro Coelho (SP)";"Total";"Total";"13148";"6893";"6255";"8571";"5202";"3369"
"3515186";"Espírito Santo do Pinhal (SP)";"Total";"Total";"37020";"18008";"19012";"23025";"12783";"10243"
"3515194";"Espírito Santo do Turvo (SP)";"Total";"Total";"3540";"1780";"1760";"2160";"1283";"877"
"3515202";"Estrela d'Oeste (SP)";"Total";"Total";"7268";"3635";"3633";"4463";"2623";"1840"
"3515301";"Estrela do Norte (SP)";"Total";"Total";"2279";"1173";"1107";"1226";"778";"448"
"3515350";"Euclides da Cunha Paulista (SP)";"Total";"Total";"8129";"4090";"4039";"4733";"2824";"1909"
"3515400";"Fartura (SP)";"Total";"Total";"13276";"6480";"6795";"7789";"4463";"3326"
"3515509";"Fernandópolis (SP)";"Total";"Total";"57653";"28010";"29643";"35400";"19705";"15695"
"3515608";"Fernando Prestes (SP)";"Total";"Total";"4927";"2414";"2513";"3082";"1802";"1280"
"3515657";"Fernão (SP)";"Total";"Total";"1357";"702";"655";"817";"508";"309"
"3515707";"Ferraz de Vasconcelos (SP)";"Total";"Total";"141331";"68339";"72992";"84030";"46648";"37382"
"3515806";"Flora Rica (SP)";"Total";"Total";"1581";"786";"795";"750";"440";"310"
"3515905";"Floreal (SP)";"Total";"Total";"2743";"1350";"1393";"1504";"910";"594"
"3516002";"Flórida Paulista (SP)";"Total";"Total";"11294";"6230";"5063";"5670";"3687";"1983"
"3516101";"Florínea (SP)";"Total";"Total";"2465";"1202";"1263";"1161";"676";"485"
"3516200";"Franca (SP)";"Total";"Total";"274418";"133209";"141209";"177370";"97075";"80295"
"3516309";"Francisco Morato (SP)";"Total";"Total";"127838";"62992";"64845";"72416";"40817";"31599"
"3516408";"Franco da Rocha (SP)";"Total";"Total";"111836";"57355";"54481";"62473";"34962";"27511"
"3516507";"Gabriel Monteiro (SP)";"Total";"Total";"2412";"1207";"1205";"1587";"903";"684"
"3516606";"Gália (SP)";"Total";"Total";"6160";"3093";"3067";"3589";"2102";"1487"
"3516705";"Garça (SP)";"Total";"Total";"37643";"18196";"19447";"21926";"12223";"9703"
"3516804";"Gastão Vidigal (SP)";"Total";"Total";"3641";"2031";"1610";"2325";"1567";"757"
"3516853";"Gavião Peixoto (SP)";"Total";"Total";"3763";"1942";"1821";"2385";"1443";"942"
"3516903";"General Salgado (SP)";"Total";"Total";"9479";"4756";"4723";"5674";"3339";"2335"
"3517000";"Getulina (SP)";"Total";"Total";"9459";"5229";"4231";"4582";"2687";"1895"
"3517109";"Glicério (SP)";"Total";"Total";"3954";"1986";"1968";"2321";"1415";"906"
"3517208";"Guaiçara (SP)";"Total";"Total";"9133";"4560";"4573";"5637";"3245";"2392"
"3517307";"Guaimbê (SP)";"Total";"Total";"4634";"2306";"2327";"2705";"1626";"1079"
"3517406";"Guaíra (SP)";"Total";"Total";"32478";"16047";"16430";"19138";"11462";"7676"
"3517505";"Guapiaçu (SP)";"Total";"Total";"15711";"7949";"7762";"9838";"5896";"3942"
"3517604";"Guapiara (SP)";"Total";"Total";"15166";"7685";"7480";"7779";"4908";"2872"
"3517703";"Guará (SP)";"Total";"Total";"16595";"8244";"8352";"9345";"5672";"3674"
"3517802";"Guaraçaí (SP)";"Total";"Total";"7480";"3700";"3780";"4262";"2592";"1670"
"3517901";"Guaraci (SP)";"Total";"Total";"8503";"4324";"4179";"5352";"3194";"2158"
"3518008";"Guarani d'Oeste (SP)";"Total";"Total";"1718";"843";"875";"913";"520";"393"
"3518107";"Guarantã (SP)";"Total";"Total";"5422";"2714";"2708";"3189";"1876";"1313"
"3518206";"Guararapes (SP)";"Total";"Total";"26873";"13160";"13713";"15866";"9193";"6673"
"3518305";"Guararema (SP)";"Total";"Total";"22197";"11086";"11112";"12442";"7146";"5296"
"3518404";"Guaratinguetá (SP)";"Total";"Total";"98246";"46934";"51313";"56315";"31206";"25110"
"3518503";"Guareí (SP)";"Total";"Total";"12942";"8103";"4839";"6690";"4477";"2213"
"3518602";"Guariba (SP)";"Total";"Total";"30187";"15165";"15023";"17810";"10802";"7007"
"3518701";"Guarujá (SP)";"Total";"Total";"246323";"118984";"127339";"143999";"80990";"63009"
"3518800";"Guarulhos (SP)";"Total";"Total";"1034230";"499507";"534723";"629919";"348103";"281816"
"3518859";"Guatapará (SP)";"Total";"Total";"5906";"3032";"2874";"3436";"2134";"1302"
"3518909";"Guzolândia (SP)";"Total";"Total";"4083";"2100";"1984";"2302";"1418";"883"
"3519006";"Herculândia (SP)";"Total";"Total";"7448";"3749";"3700";"4056";"2615";"1441"
"3519055";"Holambra (SP)";"Total";"Total";"9704";"4901";"4804";"6760";"3715";"3044"
"3519071";"Hortolândia (SP)";"Total";"Total";"164679";"82905";"81774";"101168";"56553";"44615"
"3519105";"Iacanga (SP)";"Total";"Total";"8741";"4543";"4198";"5727";"3541";"2186"
"3519204";"Iacri (SP)";"Total";"Total";"5603";"2809";"2794";"3318";"2050";"1269"
"3519253";"Iaras (SP)";"Total";"Total";"5564";"3775";"1789";"2105";"1236";"869"
"3519303";"Ibaté (SP)";"Total";"Total";"26061";"13348";"12714";"14676";"8919";"5757"
