"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Ano x Condição de atividade x Sexo"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Economicamente ativa";"Não economicamente ativa"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Total";"Total"
"3501301";"Álvares Machado (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3501301";"Álvares Machado (SP)";"Total";"18 e 19 anos";"796";"547";"248"
"3501301";"Álvares Machado (SP)";"Total";"20 a 24 anos";"2004";"1524";"480"
"3501301";"Álvares Machado (SP)";"Total";"25 a 29 anos";"1751";"1498";"253"
"3501301";"Álvares Machado (SP)";"Total";"30 a 34 anos";"1735";"1403";"332"
"3501301";"Álvares Machado (SP)";"Total";"35 a 39 anos";"1752";"1490";"262"
"3501301";"Álvares Machado (SP)";"Total";"40 a 44 anos";"1762";"1509";"253"
"3501301";"Álvares Machado (SP)";"Total";"45 a 49 anos";"1592";"1193";"399"
"3501301";"Álvares Machado (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3501301";"Álvares Machado (SP)";"Total";"50 a 54 anos";"1337";"977";"360"
"3501301";"Álvares Machado (SP)";"Total";"55 a 59 anos";"1174";"704";"469"
"3501301";"Álvares Machado (SP)";"Total";"60 a 69 anos";"1784";"656";"1128"
"3501301";"Álvares Machado (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3501301";"Álvares Machado (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3501400";"Álvaro de Carvalho (SP)";"Total";"15 a 19 anos";"265";"143";"122"
"3501400";"Álvaro de Carvalho (SP)";"Total";"15 a 17 anos";"144";"43";"100"
"3501400";"Álvaro de Carvalho (SP)";"Total";"15 anos";"...";"...";"..."
"3501400";"Álvaro de Carvalho (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3501400";"Álvaro de Carvalho (SP)";"Total";"18 e 19 anos";"121";"100";"22"
